state,,population,,male_all_race,female_all_race,,male_afr_amr,female_afr_amr,,asian_amr_fm,asian_amr_m,,hisp_amr_fm,hisp_amr_m,,nat_amr_fm,nat_amr_m,,wt_amr_fm,wt_amr_m,,healthrank,rank,,allraces,,unemployment_rate,,,marriage_rate
AL,,4833722,,72.59,78.17,,69.01,76.46,,,,,,,,72.14,68.85,,81.7,77.41,,47,5,,78.29,,7,,,7.8
AK,,735132,,76.34,80.39,,,,,,,,,,,,,,79.1,73.36,,33,19,,75.96,,6.5,,,7.5
AZ,,6626624,,77.17,82.12,,74.8,78.15,,88.83,84.08,,83.25,78.35,,,69.16,,82.27,77.31,,28,24,,79.64,,7,,,5.8
AR,,2959373,,73.13,78.82,,68.67,75.44,,,,,,,,,,,79.1,73.45,,50,2,,75.42,,6.2,,,11.8
CA,,38332521,,78.33,83.12,,72.14,77.96,,88.59,83.75,,85.75,80.4,,83.54,76.94,,82.12,77.53,,10,42,,80.77,,7.4,,,6.4
CO,,5268367,,77.79,82.18,,73.63,79.85,,90.5,84.04,,82.23,76.7,,,,,82.27,78.14,,11,41,,80.02,,5.3,,,7.1
CT,,3596080,,78.57,82.87,,74.67,80.45,,,,,86.43,79.47,,,,,82.96,78.93,,12,40,,80.82,,6.6,,,5.4
DE,,925749,,75.91,80.69,,72.47,78.18,,,,,,,,,,,80.94,76.25,,22,30,,78.36,,6.2,,,6
DC,,6971406,,72.76,80.11,,66.53,76.36,,,,,,,,,,,86.65,82.07,,51,1,,76.53,,7.4,,,11.8
FL,,19552860,,76.62,82.26,,72.71,78.69,,89.9,87.78,,85.9,79.97,,,,,81.96,76.27,,31,21,,79.45,,6.2,,,7.3
GA,,9992167,,74.64,79.66,,71.31,77.53,,89.45,86.26,,,,,,,,79.98,75.13,,38,14,,77.23,,7.8,,,5.3
HI,,1404054,,78,84.72,,,,,85.48,78.49,,,,,,,,83.57,77.69,,1,51,,81.3,,4.4,,,17.7
ID,,1612136,,77.38,81.63,,,,,,,,,,,,,,81.6,77.21,,40,12,,79.49,,4.8,,,8.4
IL,,12882135,,76.4,81.37,,69.65,77.38,,89.61,85.94,,87.89,,,,,,81.57,76.91,,32,20,,78.96,,6.8,,,6.2
IN,,6570902,,75.09,80.04,,70.61,76.79,,,,,87.03,85.31,,,,,80.15,75.21,,41,11,,77.61,,5.9,,,7.1
IA,,3090416,,77.34,81.98,,,,,,,,,,,,,,82.05,77.38,,5,47,,79.71,,4.5,,,6.9
KS,,2893957,,76.35,81.05,,70.89,76.35,,,,,86.46,80.81,,,,,81.18,76.44,,23,29,,78.73,,4.9,,,6.1
KY,,4395295,,73.4,78.5,,70.62,76.3,,,,,,,,,,,78.49,73.4,,44,8,,75.97,,7.4,,,6.9
LS,,4625470,,72.75,78.64,,68.7,75.97,,,,,,,,,,,79.47,73.97,,45,7,,75.71,,5.4,,,6.9
ME,,1328302,,76.8,81.49,,,,,,,,,,,,,,81.43,76.73,,16,36,,79.19,,5.5,,,7.7
MD,,5928814,,76.14,81.27,,71.72,78.78,,91.3,85.12,,,,,,,,81.65,77.12,,14,38,,78.81,,6.1,,,6.5
MA,,6692824,,78.07,82.73,,75.75,81.42,,91.6,86.4,,,82.58,,,,,82.56,78.01,,2,50,,80.52,,5.6,,,7.7
MI,,9895622,,75.69,80.68,,69.62,76.98,,89.99,86.99,,83.21,76.93,,,,,77.05,76.64,,34,18,,78.23,,7.7,,,5.8
MN,,5420380,,78.67,84.34,,77.03,82.49,,85.44,81.33,,,,,,,,83.53,78.83,,3,49,,81.05,,4.5,,,5.9
MS,,2991207,,71.86,77.99,,68.79,75.35,,,,,,,,,,,80.21,75.21,,49,3,,74.96,,8,,,6.9
MO,,6044171,,74.92,80.1,,70.48,77.57,,,,,,,,,,,81.19,73.14,,35,17,,77.55,,6.5,,,6.7
MT,,1015165,,76.38,80.65,,,,,,,,,,,,,,79.05,77.01,,36,16,,78.49,,4.6,,,7.9
NE,,1868516,,77.7,81.89,,,,,,,,,,,,,,82.03,77.86,,20,32,,79.84,,3.6,,,6.4
NV,,2790136,,75.62,80.64,,73.08,78.88,,89.52,86.03,,87.14,82.2,,,,,79.32,74.39,,37,15,,78.05,,7.7,,,31.9
NH,,1323459,,78.05,82.5,,,,,,,,,,,,,,82.36,77.84,,4,48,,80.32,,4.4,,,7.2
NJ,,8899339,,77.84,82.5,,71.88,78.6,,90.6,88.07,,86.73,82.53,,,,,82.49,77.91,,8,44,,80.28,,6.5,,,5.4
NM,,2085287,,75.62,81.27,,,,,,,,82.01,75.55,,78.74,70.68,,81.37,76.65,,26,28,,78.43,,6.6,,,8.1
NY,,19651127,,77.92,82.79,,73.91,80.29,,90.7,86.26,,86.3,80.12,,,,,82.65,78.13,,13,39,,80.48,,6.6,,,6.7
NC,,9848060,,75.11,80.37,,71.25,77.8,,,,,,,,80.26,,,80.81,75.71,,27,29,,77.81,,6.5,,,6.9
ND,,723393,,76.88,82.28,,,,,,,,,,,,72.7,,82.86,77.59,,19,33,,79.55,,2.8,,,6.3
OH,,11570808,,75.2,80.19,,70.58,77.02,,87.35,86.84,,87.79,82.72,,,,,80.51,75.64,,29,23,,77.75,,5.7,,,5.8
OK,,3850568,,73.31,78.45,,69.73,75.81,,,,,,,,77.09,70.61,,78.55,74.43,,48,4,,75.88,,4.6,,,7.1
OR,,3930065,,77.24,81.75,,,,,89.2,82.98,,87.55,83.32,,76.16,,,81.51,74.77,,24,28,,79.52,,6.9,,,6.8
PA,,12773801,,75.83,81.05,,69.8,76.69,,90.21,87.95,,89.95,80.8,,,,,81.4,76.28,,18,34,,78.5,,5.7,,,5.8
RI,,1051511,,77.24,82.26,,,,,,,,,,,,,,81.99,77.23,,7,45,,79.87,,7.7,,,6.7
SC,,4774839,,74.01,79.82,,70.35,77.4,,,,,83.72,,,,,,80.59,74.96,,39,13,,76.95,,5.7,,,7.6
SD,,844877,,76.6,82.37,,,,,,,,,,,,,,83.28,77.62,,17,35,,79.47,,5,,,7.1
TN,,6495978,,73.48,79.04,,69.16,76.33,,,,,,,,,,,79.37,73.94,,42,10,,76.3,,7.1,,,8.4
TX,,26448193,,76.01,80.84,,71.34,77.18,,88.61,87.79,,83.28,78.01,,,,,80.37,75.63,,30,22,,78.45,,5.1,,,6.9
UT,,2900872,,78.28,82.1,,,,,,,,84.58,79.75,,,,,81.96,78.21,,15,37,,80.2,,3.6,,,7.3
VT,,626630,,78.17,82.63,,,,,,,,,,,,,,81.57,78.02,,6,46,,80.45,,3.7,,,8.7
VA,,8260405,,76.6,81.28,,72.03,78.24,,89.66,84.27,,88.45,,,,,,82.61,77.1,,25,27,,79.01,,5.4,,,6.7
WA,,6971406,,77.77,82,,75.21,80.04,,87.35,82.84,,87.26,83.46,,,,,81.75,77.52,,9,43,,79.92,,5.6,,,7
WV,,1854304,,72.77,78.08,,,,,,,,,,,,,,78.1,72.64,,46,6,,75.4,,6.3,,,6.7
WI,,5742713,,77.48,82.41,,70.67,77.11,,,,,88.8,,,,,,82.73,77.82,,21,31,,79.98,,5.8,,,5.7
WY,,582658,,76.03,80.79,,,,,,,,,,,,,,80.9,76.08,,43,9,,78.34,,4.4,,,7.7
